uniqueid,기준분기,상권구분,상권지역,서비스업종,분기매출,분기당매출건수,주중매출금액,주말매출금액
YH79,4분기,발달상권,경찰병원역,시계및귀금속,18318400,99,12603721,5714679
YH80,4분기,발달상권,서울대입구역,가전제품,2182508291,6999,1515830691,666677600
YH81,4분기,발달상권,삼성중앙역,가구,1063964123,580,348445235,715518888
YH82,4분기,발달상권,서래마을카페거리(서래마을),가구,422934374,1653,232888540,190045834
YH83,4분기,발달상권,학동사거리,시계및귀금속,463012802,260,383415303,79597499
YH84,4분기,전통시장,쌍문시장(쌍문역골목시장),시계및귀금속,18954199,63,14595177,4359022
YH85,4분기,전통시장,아현가구거리상점가,가구,4063571700,4351,2750112309,1313459391
YH86,4분기,전통시장,중랑동부시장,시계및귀금속,7532991,28,3528920,4004071
YH87,4분기,전통시장,방천골목시장,시계및귀금속,218813908,128,217034347,1779561
YH88,4분기,전통시장,전곡시장,시계및귀금속,6309649,31,2878351,3431298
YH89,4분기,전통시장,사가정시장,시계및귀금속,24912860,116,18345242,6567618
YH90,4분기,전통시장,우림골목시장,가전제품,22054277,264,16905257,5149020
YH91,4분기,전통시장,도화동 상점가,시계및귀금속,209340025,570,180015219,29324806
YH92,4분기,전통시장,창동신창시장,시계및귀금속,76742172,183,19404865,57337307
YH93,4분기,전통시장,고척근린시장,가구,394154867,843,200059783,194095084
YH94,4분기,전통시장,우림골목시장,가구,81657009,346,56595681,25061328
YH95,4분기,전통시장,행당시장상점가,시계및귀금속,53330383,197,37766658,15563725
YH96,4분기,전통시장,인현시장,시계및귀금속,3989704,103,3346204,643500
YH97,4분기,발달상권,석촌고분역,시계및귀금속,7187088,91,4792087,2395001
YH98,4분기,발달상권,잠실역,시계및귀금속,1900109138,3581,1815491478,84617660
YH99,4분기,전통시장,신곡종합시장(신월6동 골목시장),시계및귀금속,73254504,367,57207687,16046817
YH100,4분기,전통시장,전농로터리시장,가구,17990379,39,11544629,6445750
YH101,4분기,전통시장,소공지하도상가,시계및귀금속,149234097,1931,149234097,0
YH102,4분기,전통시장,수일시장,시계및귀금속,87074328,209,86979154,95174
YH103,4분기,전통시장,"솔샘시장(미아6,7동골목시장)",시계및귀금속,113565766,506,93203993,20361773
YH104,4분기,전통시장,공릉동 도깨비시장,시계및귀금속,4235599,31,1429190,2806409
YH105,4분기,전통시장,회기시장,시계및귀금속,12866418,276,10417315,2449103
YH106,4분기,전통시장,장위전통시장,시계및귀금속,27868161,61,23570097,4298064
YH107,4분기,전통시장,서울중앙시장(신중앙시장),가구,14171216036,25790,12989602982,1181613054
YH108,4분기,전통시장,불광먹자골목 골목형상점가,시계및귀금속,39886692,208,37107610,2779082
YH109,4분기,전통시장,암사종합시장,시계및귀금속,14272120,78,12755969,1516151
YH110,4분기,전통시장,왕십리도선동상점가,시계및귀금속,38137180,101,35564618,2572562
YH111,4분기,전통시장,신영시장,시계및귀금속,38325399,283,27994079,10331320
YH112,4분기,전통시장,제일평화시장,시계및귀금속,152533333,320,152533333,0
YH113,4분기,골목상권,암사역 1번,시계및귀금속,89964006,282,78563114,11400892
YH114,4분기,전통시장,까치산시장,시계및귀금속,103421501,526,60045218,43376283
YH115,4분기,전통시장,선유도역 골목형상점가,시계및귀금속,723817581,1171,714474818,9342763
YH116,4분기,전통시장,영등포유통상가,가전제품,183693709,750,111018790,72674919
YH117,4분기,전통시장,중부시장(신중부시장),가구,7059804848,158652,6933247891,126556957
YH118,4분기,전통시장,"동원전통종합시장(동원시장, 동원전통시장 상점가)",가구,210334953,591,166979976,43354977
YH119,4분기,전통시장,방이시장,시계및귀금속,25896817,210,16882710,9014107
YH120,4분기,전통시장,엔터식스 강남점,시계및귀금속,2781460,6,2781460,0
YH121,4분기,전통시장,고척골목시장상점가(그라운드 고척),시계및귀금속,15493220,30,9498526,5994694
YH122,4분기,전통시장,석촌시장,시계및귀금속,123046875,148,111662947,11383928
YH123,4분기,전통시장,남성사계시장(남성시장),시계및귀금속,85750412,549,74149294,11601118
YH124,4분기,전통시장,미성동 도깨비시장 골목형상점가,시계및귀금속,17102798,67,16369821,732977
YH125,4분기,전통시장,관악신사시장,시계및귀금속,24280012,178,17726317,6553695
YH126,4분기,골목상권,신월3동주민센터,시계및귀금속,4005055,59,2635342,1369713
YH127,4분기,전통시장,문정동 로데오거리 상점가(문정동 로데오거리),시계및귀금속,2952900,114,2952900,0
YH128,4분기,전통시장,상도도깨비 골목형상점가,시계및귀금속,1951890,69,1264605,687285
